Date,Price,Open,High,Low,Vol.,Change %
"May 08, 2019",5990.3,5849.4,6011.3,5799.1,757.13K,2.41%
"May 09, 2019",6191.5,5990.5,6206,5990,799.96K,3.36%
"May 10, 2019",6386,6194.3,6466.6,6157.8,907.94K,3.14%
"May 11, 2019",7190.3,6386.6,7373.8,6386.5,1.31M,12.59%
"May 12, 2019",6984.8,7190,7518.9,6802.6,1.35M,-2.86%
"May 13, 2019",7806,6984.7,8058.3,6893.1,1.20M,11.76%
"May 14, 2019",7994.6,7806.4,8323.9,7674,1.33M,2.42%
"May 15, 2019",8164.6,7994.8,8225.3,7856.5,1.13M,2.13%
"May 16, 2019",7871.8,8164.8,8293.3,7720.4,1.18M,-3.59%
"May 17, 2019",7359.5,7871.9,7924,6998.6,1.43M,-6.51%
"May 18, 2019",7262.6,7359.9,7458.5,7189.4,865.53K,-1.32%
"May 19, 2019",8157.2,7261.9,8253.4,7252.3,1.08M,12.32%
"May 20, 2019",7965.3,8156.4,8156.4,7604,958.81K,-2.35%
"May 21, 2019",7930.3,7965,8056.8,7813.2,804.88K,-0.44%
"May 22, 2019",7635.7,7928.7,7999,7545.9,821.40K,-3.72%
"May 23, 2019",7852.1,7637.2,7939.1,7486.8,815.14K,2.83%
"May 24, 2019",7970.1,7852.8,8124.1,7775.4,868.47K,1.50%
"May 25, 2019",8027.4,7971.4,8090.1,7919.1,691.27K,0.72%
"May 26, 2019",8630.2,8029.6,8718.6,7866.5,872.12K,7.51%
"May 27, 2019",8760.1,8628.9,8902.8,8607.3,907.96K,1.51%
"May 28, 2019",8716.3,8759.4,8794.1,8568.8,763.20K,-0.50%
"May 29, 2019",8647.8,8715.6,8747.2,8435.3,15.43M,-0.79%
"May 30, 2019",8271.9,8647.8,9045.9,8054.7,1.04M,-4.35%
"May 31, 2019",8558.3,8271.4,8578.8,8135,858.41K,3.46%
"Jun 01, 2019",8545.7,8556.9,8615.8,8454,686.75K,-0.15%
"Jun 02, 2019",8728.6,8545.8,8807.7,8534.8,614.54K,2.14%
"Jun 03, 2019",8124.8,8728.6,8734.9,8102.7,739.45K,-6.92%
"Jun 04, 2019",7685.5,8118.1,8118.1,7494,966.95K,-5.41%
"Jun 05, 2019",7779.1,7685.6,7885,7590.4,762.94K,1.22%
"Jun 06, 2019",7784.9,7779.6,7861.4,7480.4,651.82K,0.08%
"Jun 07, 2019",7985.2,7785.8,8099.4,7749.4,588.87K,2.57%
"Jun 08, 2019",7901.4,7985.3,8044.4,7770.5,485.81K,-1.05%
"Jun 09, 2019",7635,7901.6,7937.5,7516.9,554.48K,-3.37%
"Jun 10, 2019",7987.8,7635,8012.8,7523.6,641.38K,4.62%
"Jun 11, 2019",7888,7987.8,8010.4,7714.5,579.00K,-1.25%
"Jun 12, 2019",8133.1,7888,8198.1,7805.8,607.89K,3.11%
"Jun 13, 2019",8219,8132.4,8306.1,8028.6,574.21K,1.06%
"Jun 14, 2019",8656.1,8218.6,8685.3,8153.2,643.17K,5.32%
"Jun 15, 2019",8812.5,8655.8,8856.7,8582.3,608.69K,1.81%
"Jun 16, 2019",8962.5,8812.2,9332,8771.1,849.77K,1.70%
"Jun 17, 2019",9318.8,8961,9438.1,8959.8,738.80K,3.98%
"Jun 18, 2019",9080.6,9318.9,9336.1,8962.7,723.17K,-2.56%
"Jun 19, 2019",9255.4,9080.7,9295.1,9044,587.57K,1.93%
"Jun 20, 2019",9517,9255,9583.9,9188.4,693.62K,2.83%
"Jun 21, 2019",10179.3,9517.7,10184.3,9517.4,769.12K,6.96%
"Jun 22, 2019",10721.7,10178.1,11160.5,10031.3,1.09M,5.33%
"Jun 23, 2019",10897.1,10721.5,11361.3,10557.8,683.79K,1.64%
"Jun 24, 2019",11046.4,10897.3,11114.4,10622.6,566.96K,1.37%
"Jun 25, 2019",11809.9,11046.6,11833.9,11033.7,781.09K,6.91%
"Jun 26, 2019",13063.8,11811.6,13929.8,11747.3,1.48M,10.62%
"Jun 27, 2019",11287.8,13062.4,13422,10493.5,1.59M,-13.59%
"Jun 28, 2019",12409.1,11288.4,12461.8,10970.5,1.09M,9.93%
"Jun 29, 2019",11906.5,12408,12422.9,11490.8,834.62K,-4.05%
"Jun 30, 2019",10818.6,11906,12179.3,10765.4,880.77K,-9.14%
"Jul 01, 2019",10616.6,10821.4,11254.5,10041.6,1.04M,-1.87%
"Jul 02, 2019",10835.9,10615.5,10923.5,9728.5,1.12M,2.07%
"Jul 03, 2019",11900.8,10835.9,11931.8,10835.9,998.73K,9.83%
"Jul 04, 2019",11163.1,11899.3,11948,11087.1,840.34K,-6.20%
"Jul 05, 2019",10970.2,11159.7,11381.8,10810.3,772.67K,-1.73%
"Jul 06, 2019",11268,10969.8,11650.2,10967.9,688.96K,2.71%
"Jul 07, 2019",11415.9,11267.9,11524.6,11108.1,601.93K,1.31%
"Jul 08, 2019",12252.6,11415.8,12332.3,11304.8,695.60K,7.33%
"Jul 09, 2019",12541.5,12250.6,12772.9,12111.2,847.84K,2.36%
"Jul 10, 2019",12110.6,12542.8,13134.4,11594.9,1.11M,-3.44%
"Jul 11, 2019",11342.3,12111.6,12111.6,11029,943.13K,-6.34%
"Jul 12, 2019",11762.1,11343.7,11881.4,11109.8,738.17K,3.70%
"Jul 13, 2019",11364.9,11762.8,11798.4,10839.4,747.71K,-3.38%
